
Seattle,101.81,97.2981,0.627448,15-9,15,24,49.9,48.3,33.7,34.1,17.3,21.6,24.7,33.3,68.4432,50.3,48.8,32.8,31.6,0,0,52.7,53.7,38,36.6,68.4432,,,,2026,,,,-3.7473,70.2,
Villanova,121.349,99.7632,0.904864,17-5,17,22,54.5,50.6,31.4,28.2,15.6,18.6,35,32.3,63.2134,54.3,50.4,36.5,34,0,0,55,50.3,45.8,37.5,63.2134,,,,2026,,,,2.60224,71.1,
Howard,99.3323,106.566,0.308226,14-9,14,23,47.6,48.8,41.4,40.8,20.6,21.3,35.2,32.3,68.6569,47.1,49,32.5,32.3,0,0,57.8,49.4,34.2,35.3,68.6569,,,,2026,,,,-6.39093,73.6,
"Utah St.",122.378,100.022,0.910507,19-3,19,22,57.1,48.3,37,39.7,16.3,21.9,36.2,31,68.0416,60.3,47.5,34.8,32.9,0,0,58.9,45.9,39.3,41.6,68.0416,,,,2026,,,,2.90873,70.2,
Marist,101.062,99.6608,0.540057,16-7,16,23,51,44.1,26.4,37.9,17,20.2,27.6,28.2,66.1204,52.5,45.5,32.1,27.9,0,0,59.4,44.4,35.1,36.5,66.1204,,,,2026,,,,-4.85656,79.6,
"Portland St.",103.365,100.9,0.56894,15-6,15,21,52.3,47.3,35.7,46.1,18.6,18.8,31.3,28.5,67.4987,52.9,49.1,34.2,29.6,0,0,55.7,52.9,34.2,37.8,67.4987,,,,2026,,,,-2.92392,70.5,
Denver,113.965,121.129,0.331565,11-14,11,25,53,56.5,33.7,35.3,14.8,13.3,29.1,34.7,68.5494,52,56.5,36.4,37.6,0,0,38.8,43.3,38.2,37.7,68.5494,,,,2026,,,,-8.61886,77.1,
"Cal St. Northridge",108.853,108.893,0.498945,14-10,14,24,51.6,52.4,35.8,35.8,18.2,15.9,32.1,25.5,73.6193,52.4,52.1,33.5,35.2,0,0,59,56.7,34.9,48.8,73.6193,,,,2026,,,,-5.88043,66.4,
Maryland,110.018,107.795,0.558429,8-14,8,22,47.8,55.6,40.2,35.5,18.3,16.5,32.7,31.4,67.2265,47.3,54.7,32.2,38,0,0,44.4,61.1,45.7,42.1,67.2265,,,,2026,,,,-4.07342,72.7,
Rice,109.434,114.221,0.379344,10-13,10,23,48.4,51.8,36.8,40.1,18.6,16.7,36.1,35.2,65.3778,44.7,51.1,35.6,35.4,0,0,45.8,48.2,42,34.9,65.3778,,,,2026,,,,-8.6249,68.6,
